question_id	exam_id	exam_title	exam_family	group_name	question_number	raw_topic	first_line	main_topic	subtopic	course_phase	question_form	question_form_title	primary_snippet_slug	primary_snippet_title	secondary_snippet_slugs	secondary_snippet_titles
final-exam-solutions-for-python-programming-62oop21-q01	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	1	OOP Fundamentals	Take a look at the following class definition.	oop	methods-and-comparison	post-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	oop-method-calls-and-self	Method calls and self	oop-init-self-defaults	__init__, self, defaults, attributes
final-exam-solutions-for-python-programming-62oop21-q02	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	2	OOP Fundamentals	You have the following definition for a Book class.	oop	methods-and-comparison	post-midterm	choose_working_code	Choose the code that works	oop-compare-and-report-patterns	Compare/report method patterns	oop-state-and-collection-attributes	Object state and collection attributes
final-exam-solutions-for-python-programming-62oop21-q03	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	3	Strings	You would like to write a function called get_tld that extracts the top-level domain from the URL of a website. The function takes the URL as the input string in the following format:	strings	parsing	post-midterm	choose_nonworking_code	Choose the code that fails	url-email-phone-parsing	URL, email, and phone parsing	split-join-replace	split(), join(), replace()
final-exam-solutions-for-python-programming-62oop21-q04	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	4	Strings	You're trying to write a function called is_anagram, which takes two strings as inputs and checks whether they are anagrams of each other. That is: whether one of them can be written by rearranging the letters of the other. Upper case and lower case versions of a letter count as the same letter, and whitespace characters don't count at all.	strings	formatting	post-midterm	choose_working_code	Choose the code that works	targeted-string-edit-patterns	Targeted string edits	mutation-vs-return|split-join-replace	Mutation vs return value | split(), join(), replace()
final-exam-solutions-for-python-programming-62oop21-q05	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	5	Pandas	You have a pandas Series called s, which contains floats. You'd like to create a new Series, in which each element is equal to the square of the difference between the corresponding element in s and the mean of the elements in s.	pandas	transforms	post-midterm	choose_nonworking_code	Choose the code that fails	pandas-map-vs-apply	map() vs apply()	pandas-vectorized-new-columns	Vectorized new columns
final-exam-solutions-for-python-programming-62oop21-q06	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	6	7-pandas-2	"You have a pandas DataFrame called df. It has a column called ""A"" and a column called ""B"". Both contain numbers."	pandas	transforms	post-midterm	choose_working_code	Choose the code that works	pandas-vectorized-new-columns	Vectorized new columns		
final-exam-solutions-for-python-programming-62oop21-q07	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	7	7-pandas-3	You have a pandas DataFrame called df that looks like this, when printed:	pandas	selection	post-midterm	choose_nonworking_code	Choose the code that fails	pandas-boolean-mask-and-indexing	Boolean masks and indexing	pandas-loc-iloc|pandas-series-vs-dataframe	loc vs iloc | Series vs DataFrame
final-exam-solutions-for-python-programming-62oop21-q08	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	8	7-pandas-4	You have two DataFrames: df1 and df2. They look like this when printed:	pandas	construction-and-sorting	post-midterm	reverse_engineer_transform	Reverse-engineer a transform	pandas-sort-index-vs-values	sort_index() vs sort_values()	pandas-boolean-mask-and-indexing	Boolean masks and indexing
final-exam-solutions-for-python-programming-62oop21-q09	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	9	8-comprehensions-1	"You have a list of mountain peaks and their heights in meters, all formatted as ""[PEAK NAME]: [HEIGHT]m"". For example, a few elements of the list are:"	dicts-and-comprehensions	comprehensions	post-midterm	equivalence_match	Match equivalent expressions / outputs	dict-comprehension-patterns	Dictionary comprehension patterns	split-join-replace	split(), join(), replace()
final-exam-solutions-for-python-programming-62oop21-q10	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	10	8-comprehensions-2	You have a dictionary called grades, in which the keys are unique student ID's (as strings) and the corresponding values are each student's Python course grades (as floats).	dicts-and-comprehensions	comprehensions	post-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	dict-comprehension-patterns	Dictionary comprehension patterns	types-none-bool-equality	Types, None, bool, equality
