snippet_slug	sort_order	topic_slug	subtopic_slug	title	summary	why	default_priority	difficulty	course_phase	recurrence_level	exam_family_count	question_ref_count	piece_count	readme_path	content_dir	default_piece_count	default_char_count	total_char_count	trap_count	keyword_count	ui_section_slug	ui_section_title	ui_section_sort_order	ui_card_order	is_trap_heavy
zip-enumerate-core	1	core-python	lists-loops	zip() and enumerate() core patterns	The exact shapes of `zip()` and `enumerate()` and how they are used to build dictionaries and paired outputs.	These two functions recur in list, dict, and output questions. Students often mix up index/value order or forget that `enumerate(..., start=1)` shifts numbering.	5	beginner	pre-midterm	signature	5	14	3	content/core-python/lists-loops/zip-enumerate-core/README.md	content/core-python/lists-loops/zip-enumerate-core	2	418	807	2	4	start-here	Start here	1	1	0
slicing-patterns	2	core-python	lists-loops	Slicing patterns	How to read and write slices, especially when the exam asks for every nth element or reverse-order patterns.	Slice blanks and list-construction questions are common, and the distractors usually differ by one subtle issue: start, stop, step, or stop-exclusivity.	5	beginner	pre-midterm	very-common	4	9	3	content/core-python/lists-loops/slicing-patterns/README.md	content/core-python/lists-loops/slicing-patterns	2	406	699	2	5	start-here	Start here	1	2	0
loop-templates	3	core-python	lists-loops	Loop templates	Minimal patterns for range-based loops, while-loops, and loops with a carry variable such as `previous`.	The loop questions are rarely deep; they reward knowing a few exact templates and noticing inclusive vs exclusive bounds.	4	beginner	pre-midterm	common	3	5	3	content/core-python/lists-loops/loop-templates/README.md	content/core-python/lists-loops/loop-templates	2	333	462	2	5	add-next	Add next	2	1	0
nested-indexing-and-negative-indices	4	core-python	lists-loops	Nested indexing and negative indices	Read nested sequences quickly and avoid off-by-one errors with negative indices.	Several “easy” questions are solved by correctly evaluating expressions like `x[0][1]`, `x[-3][0]`, or by knowing exactly what `-1` and `-2` mean.	4	beginner	pre-midterm	occasional	2	3	3	content/core-python/lists-loops/nested-indexing-and-negative-indices/README.md	content/core-python/lists-loops/nested-indexing-and-negative-indices	2	328	514	2	4	add-next	Add next	2	2	0
list-selection-and-aggregation	5	core-python	lists-loops	List selection and aggregation	Patterns for filtering lists, keeping elements that meet an index-based rule, or selecting one sub-list by a derived statistic.	The bank includes questions where the real task is not syntax but choosing the right selection criterion: equal to index, largest sum, or another derived property.	3	mixed	pre-midterm	very-common	4	6	3	content/core-python/lists-loops/list-selection-and-aggregation/README.md	content/core-python/lists-loops/list-selection-and-aggregation	2	354	510	2	5	start-here	Start here	1	3	0
types-none-bool-equality	1	core-python	types-conditions	Types, None, bool, equality	Core Python value semantics: types, `None`, truth values, and equality between strings, ints, floats, and booleans.	Basic-looking MCQs often hide one decisive fact: `'3' != 3`, `3 == 3.0`, empty containers are falsey, and reaching the end of a function returns `None`.	5	beginner	pre-midterm	signature	5	15	3	content/core-python/types-conditions/types-none-bool-equality/README.md	content/core-python/types-conditions/types-none-bool-equality	2	637	816	4	6	start-here	Start here	1	1	1
builtins-return-values	2	core-python	types-conditions	Built-ins and what they return	High-yield built-ins that recur in output questions: what they take, what they return, and their usual type.	A surprising number of MCQs are really about remembering one built-in exactly: `len`, `sorted`, `sum`, `max`, `ord`, `type`, `count`, `index`.	4	beginner	pre-midterm	very-common	4	11	4	content/core-python/types-conditions/builtins-return-values/README.md	content/core-python/types-conditions/builtins-return-values	2	804	1071	2	8	start-here	Start here	1	2	0
membership-and-condition-logic	3	core-python	types-conditions	Membership and condition logic	How `in`, `not in`, `and`, `or`, and `not` are used in the bank’s condition questions.	Several questions are solved by recognizing that membership is checked against the right object, and that condition precedence can make a nearly-correct answer wrong.	4	beginner	pre-midterm	common	3	5	4	content/core-python/types-conditions/membership-and-condition-logic/README.md	content/core-python/types-conditions/membership-and-condition-logic	2	632	1131	2	6	add-next	Add next	2	1	0
datetime-timedelta-day-counts	1	datetime	arithmetic-and-overlap	timedelta and day counts	Use `timedelta` for shifting datetimes and `.days` for whole-day differences.	This snippet covers day-of-year, day differences, one-week jumps, and inclusive counting questions.	5	mixed	post-midterm	signature	5	7	3	content/datetime/arithmetic-and-overlap/datetime-timedelta-day-counts/README.md	content/datetime/arithmetic-and-overlap/datetime-timedelta-day-counts	2	387	552	2	4	start-here	Start here	1	1	0
datetime-overlap-logic	2	datetime	arithmetic-and-overlap	Overlap logic	The overlap rule for meetings/events and the common string-vs-datetime mistakes around it.	Meeting/lunch-overlap questions recur and are surprisingly template-like.	4	mixed	post-midterm	occasional	2	2	3	content/datetime/arithmetic-and-overlap/datetime-overlap-logic/README.md	content/datetime/arithmetic-and-overlap/datetime-overlap-logic	3	508	508	2	3	add-next	Add next	2	1	0
