snippet_slug	question_id
args-and-kwargs	final-exam-solutions-for-python-programming-62oop21-q20
args-and-kwargs	final-exam-study-guide-trial-python-basics-2023-q12
args-and-kwargs	introduction-to-python-trial-final-exam-solutions-py22-q12
args-and-kwargs	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q06
args-and-kwargs	resit-solutions-for-introduction-to-python-35761538-q06
args-and-kwargs	sample-final-plus-answers-q23
args-and-kwargs	trial-final-exam-solutions-introduction-to-python-3077951-q23
builtins-return-values	final-exam-solutions-for-python-programming-62oop21-q24
builtins-return-values	final-exam-study-guide-trial-python-basics-2023-q03
builtins-return-values	final-exam-study-guide-trial-python-basics-2023-q04
builtins-return-values	final-exam-study-guide-trial-python-basics-2023-q11
builtins-return-values	introduction-to-python-trial-final-exam-solutions-py22-q03
builtins-return-values	introduction-to-python-trial-final-exam-solutions-py22-q06
builtins-return-values	introduction-to-python-trial-final-exam-solutions-py22-q11
builtins-return-values	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05
builtins-return-values	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11
builtins-return-values	resit-solutions-for-introduction-to-python-35761538-q05
builtins-return-values	resit-solutions-for-introduction-to-python-35761538-q11
case-and-capitalization	introduction-to-python-trial-final-exam-solutions-py22-q18
case-and-capitalization	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q10
case-and-capitalization	resit-solutions-for-introduction-to-python-35761538-q10
case-and-capitalization	sample-final-plus-answers-q12
case-and-capitalization	trial-final-exam-solutions-introduction-to-python-3077951-q12
datetime-build-from-parts	final-exam-solutions-for-python-programming-62oop21-q12
datetime-build-from-parts	final-exam-study-guide-trial-python-basics-2023-q22
datetime-build-from-parts	introduction-to-python-trial-final-exam-solutions-py22-q21
datetime-build-from-parts	introduction-to-python-trial-final-exam-solutions-py22-q22
datetime-build-from-parts	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q22
datetime-build-from-parts	resit-solutions-for-introduction-to-python-35761538-q22
datetime-overlap-logic	final-exam-solutions-for-python-programming-62oop21-q12
datetime-overlap-logic	introduction-to-python-trial-final-exam-solutions-py22-q21
datetime-sequence-generation	final-exam-study-guide-trial-python-basics-2023-q21
datetime-sequence-generation	introduction-to-python-trial-final-exam-solutions-py22-q22
datetime-sequence-generation	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21
datetime-sequence-generation	resit-solutions-for-introduction-to-python-35761538-q21
datetime-strptime-strftime	final-exam-solutions-for-python-programming-62oop21-q11
datetime-strptime-strftime	final-exam-study-guide-trial-python-basics-2023-q15
datetime-strptime-strftime	final-exam-study-guide-trial-python-basics-2023-q21
datetime-strptime-strftime	introduction-to-python-trial-final-exam-solutions-py22-q15
datetime-strptime-strftime	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17
datetime-strptime-strftime	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21
datetime-strptime-strftime	resit-solutions-for-introduction-to-python-35761538-q17
datetime-strptime-strftime	resit-solutions-for-introduction-to-python-35761538-q21
datetime-strptime-strftime	sample-final-plus-answers-q07
datetime-strptime-strftime	sample-final-plus-answers-q09
datetime-strptime-strftime	trial-final-exam-solutions-introduction-to-python-3077951-q07
datetime-strptime-strftime	trial-final-exam-solutions-introduction-to-python-3077951-q09
datetime-timedelta-day-counts	final-exam-solutions-for-python-programming-62oop21-q11
datetime-timedelta-day-counts	final-exam-study-guide-trial-python-basics-2023-q15
datetime-timedelta-day-counts	introduction-to-python-trial-final-exam-solutions-py22-q15
datetime-timedelta-day-counts	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17
datetime-timedelta-day-counts	resit-solutions-for-introduction-to-python-35761538-q17
datetime-timedelta-day-counts	sample-final-plus-answers-q10
datetime-timedelta-day-counts	trial-final-exam-solutions-introduction-to-python-3077951-q10
defaults-keyword-arguments	final-exam-solutions-for-python-programming-62oop21-q20
defaults-keyword-arguments	final-exam-solutions-for-python-programming-62oop21-q21
defaults-keyword-arguments	final-exam-study-guide-trial-python-basics-2023-q10
defaults-keyword-arguments	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04
defaults-keyword-arguments	resit-solutions-for-introduction-to-python-35761538-q04
defaults-keyword-arguments	sample-final-plus-answers-q01
defaults-keyword-arguments	trial-final-exam-solutions-introduction-to-python-3077951-q01
dict-build-count-aggregate	final-exam-study-guide-trial-python-basics-2023-q05
dict-build-count-aggregate	final-exam-study-guide-trial-python-basics-2023-q06
dict-build-count-aggregate	final-exam-study-guide-trial-python-basics-2023-q12
dict-build-count-aggregate	introduction-to-python-trial-final-exam-solutions-py22-q05
dict-build-count-aggregate	introduction-to-python-trial-final-exam-solutions-py22-q06
dict-build-count-aggregate	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q08
dict-build-count-aggregate	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09
dict-build-count-aggregate	resit-solutions-for-introduction-to-python-35761538-q08
dict-build-count-aggregate	resit-solutions-for-introduction-to-python-35761538-q09
dict-build-count-aggregate	sample-final-plus-answers-q19
dict-build-count-aggregate	trial-final-exam-solutions-introduction-to-python-3077951-q19
dict-comprehension-patterns	final-exam-solutions-for-python-programming-62oop21-q09
dict-comprehension-patterns	final-exam-solutions-for-python-programming-62oop21-q10
dict-comprehension-patterns	final-exam-study-guide-trial-python-basics-2023-q04
dict-comprehension-patterns	introduction-to-python-trial-final-exam-solutions-py22-q04
dict-comprehension-patterns	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q07
dict-comprehension-patterns	resit-solutions-for-introduction-to-python-35761538-q07
dict-comprehension-patterns	sample-final-plus-answers-q08
dict-comprehension-patterns	sample-final-plus-answers-q11
dict-comprehension-patterns	trial-final-exam-solutions-introduction-to-python-3077951-q08
dict-comprehension-patterns	trial-final-exam-solutions-introduction-to-python-3077951-q11
dict-iteration-equality	final-exam-solutions-for-python-programming-62oop21-q17
dict-iteration-equality	final-exam-solutions-for-python-programming-62oop21-q18
dict-iteration-equality	final-exam-study-guide-trial-python-basics-2023-q06
dict-iteration-equality	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09
dict-iteration-equality	resit-solutions-for-introduction-to-python-35761538-q09
dict-iteration-equality	sample-final-plus-answers-q20
dict-iteration-equality	sample-final-plus-answers-q21
dict-iteration-equality	trial-final-exam-solutions-introduction-to-python-3077951-q20
dict-iteration-equality	trial-final-exam-solutions-introduction-to-python-3077951-q21
dict-running-totals-and-next-links	final-exam-solutions-for-python-programming-62oop21-q16
dict-running-totals-and-next-links	sample-final-plus-answers-q19
dict-running-totals-and-next-links	trial-final-exam-solutions-introduction-to-python-3077951-q19
find-index-count	introduction-to-python-trial-final-exam-solutions-py22-q11
find-index-count	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13
find-index-count	resit-solutions-for-introduction-to-python-35761538-q13
find-index-count	sample-final-plus-answers-q22
find-index-count	trial-final-exam-solutions-introduction-to-python-3077951-q22
fstrings-and-format	final-exam-study-guide-trial-python-basics-2023-q13
fstrings-and-format	final-exam-study-guide-trial-python-basics-2023-q23
fstrings-and-format	introduction-to-python-trial-final-exam-solutions-py22-q13
fstrings-and-format	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14
fstrings-and-format	resit-solutions-for-introduction-to-python-35761538-q14
fstrings-and-format	sample-final-plus-answers-q03
fstrings-and-format	trial-final-exam-solutions-introduction-to-python-3077951-q03
higher-order-lambda	final-exam-solutions-for-python-programming-62oop21-q22
higher-order-lambda	sample-final-plus-answers-q16
higher-order-lambda	sample-final-plus-answers-q23
higher-order-lambda	trial-final-exam-solutions-introduction-to-python-3077951-q16
higher-order-lambda	trial-final-exam-solutions-introduction-to-python-3077951-q23
imports-and-aliases	sample-final-plus-answers-q24
imports-and-aliases	trial-final-exam-solutions-introduction-to-python-3077951-q24
list-comprehension-patterns	final-exam-solutions-for-python-programming-62oop21-q23
list-comprehension-patterns	final-exam-study-guide-trial-python-basics-2023-q07
list-comprehension-patterns	introduction-to-python-trial-final-exam-solutions-py22-q07
list-comprehension-patterns	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q10
list-comprehension-patterns	resit-solutions-for-introduction-to-python-35761538-q10
list-comprehension-patterns	sample-final-plus-answers-q12
list-comprehension-patterns	trial-final-exam-solutions-introduction-to-python-3077951-q12
list-selection-and-aggregation	final-exam-solutions-for-python-programming-62oop21-q23
list-selection-and-aggregation	final-exam-solutions-for-python-programming-62oop21-q24
list-selection-and-aggregation	final-exam-study-guide-trial-python-basics-2023-q08
list-selection-and-aggregation	introduction-to-python-trial-final-exam-solutions-py22-q08
list-selection-and-aggregation	sample-final-plus-answers-q18
list-selection-and-aggregation	trial-final-exam-solutions-introduction-to-python-3077951-q18
local-vs-global-scope	final-exam-solutions-for-python-programming-62oop21-q15
local-vs-global-scope	final-exam-study-guide-trial-python-basics-2023-q02
local-vs-global-scope	introduction-to-python-trial-final-exam-solutions-py22-q02
local-vs-global-scope	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02
local-vs-global-scope	resit-solutions-for-introduction-to-python-35761538-q02
local-vs-global-scope	sample-final-plus-answers-q15
local-vs-global-scope	trial-final-exam-solutions-introduction-to-python-3077951-q15
loop-templates	final-exam-solutions-for-python-programming-62oop21-q14
loop-templates	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04
loop-templates	resit-solutions-for-introduction-to-python-35761538-q04
loop-templates	sample-final-plus-answers-q14
loop-templates	trial-final-exam-solutions-introduction-to-python-3077951-q14
mcq-elimination-checklist	final-exam-solutions-for-python-programming-62oop21-q03
mcq-elimination-checklist	final-exam-solutions-for-python-programming-62oop21-q07
mcq-elimination-checklist	final-exam-study-guide-trial-python-basics-2023-q19
mcq-elimination-checklist	introduction-to-python-trial-final-exam-solutions-py22-q14
mcq-elimination-checklist	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18
mcq-elimination-checklist	sample-final-plus-answers-q04
mcq-elimination-checklist	sample-final-plus-answers-q06
mcq-elimination-checklist	sample-final-plus-answers-q15
membership-and-condition-logic	final-exam-study-guide-trial-python-basics-2023-q01
membership-and-condition-logic	introduction-to-python-trial-final-exam-solutions-py22-q01
membership-and-condition-logic	introduction-to-python-trial-final-exam-solutions-py22-q10
membership-and-condition-logic	sample-final-plus-answers-q17
membership-and-condition-logic	trial-final-exam-solutions-introduction-to-python-3077951-q17
mutation-vs-return	final-exam-solutions-for-python-programming-62oop21-q04
mutation-vs-return	final-exam-solutions-for-python-programming-62oop21-q19
mutation-vs-return	final-exam-study-guide-trial-python-basics-2023-q17
mutation-vs-return	introduction-to-python-trial-final-exam-solutions-py22-q17
mutation-vs-return	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21
mutation-vs-return	sample-final-plus-answers-q04
nested-indexing-and-negative-indices	final-exam-solutions-for-python-programming-62oop21-q13
nested-indexing-and-negative-indices	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01
nested-indexing-and-negative-indices	resit-solutions-for-introduction-to-python-35761538-q01
oop-compare-and-report-patterns	final-exam-solutions-for-python-programming-62oop21-q02
oop-compare-and-report-patterns	final-exam-study-guide-trial-python-basics-2023-q23
