preset_id	rank	snippet_slug	piece_id
balanced-default	1	nested-indexing-and-negative-indices	nested-indexing-and-negative-indices__01__index-rules
balanced-default	2	nested-indexing-and-negative-indices	nested-indexing-and-negative-indices__03__fast-check
balanced-default	3	slicing-patterns	slicing-patterns__01__slice-syntax-table
balanced-default	4	slicing-patterns	slicing-patterns__03__chunking-pattern
balanced-default	5	loop-templates	loop-templates__01__core-templates
balanced-default	6	loop-templates	loop-templates__03__trap-checklist
balanced-default	7	zip-enumerate-core	zip-enumerate-core__01__what-they-produce
balanced-default	8	zip-enumerate-core	zip-enumerate-core__02__useful-templates
balanced-default	9	zip-enumerate-core	zip-enumerate-core__03__exam-style-micro-examples
balanced-default	10	types-none-bool-equality	types-none-bool-equality__01__equality-truthiness-mini-table
balanced-default	11	types-none-bool-equality	types-none-bool-equality__02__chains-and-booleans
balanced-default	12	membership-and-condition-logic	membership-and-condition-logic__01__membership-semantics
balanced-default	13	membership-and-condition-logic	membership-and-condition-logic__02__condition-patterns-worth-memorizing
balanced-default	14	builtins-return-values	builtins-return-values__01__built-ins-at-a-glance
balanced-default	15	builtins-return-values	builtins-return-values__03__common-confusion
balanced-default	16	datetime-timedelta-day-counts	datetime-timedelta-day-counts__01__core-formulas
balanced-default	17	datetime-timedelta-day-counts	datetime-timedelta-day-counts__03__type-trap
balanced-default	18	datetime-overlap-logic	datetime-overlap-logic__01__overlap-rule
balanced-default	19	datetime-overlap-logic	datetime-overlap-logic__02__lunch-meeting-pattern
balanced-default	20	datetime-overlap-logic	datetime-overlap-logic__03__trap-hints
balanced-default	21	datetime-strptime-strftime	datetime-strptime-strftime__01__parse-vs-format
balanced-default	22	datetime-strptime-strftime	datetime-strptime-strftime__02__directive-mini-table
balanced-default	23	datetime-strptime-strftime	datetime-strptime-strftime__03__exam-style-examples
balanced-default	24	datetime-build-from-parts	datetime-build-from-parts__01__constructor-order
balanced-default	25	datetime-build-from-parts	datetime-build-from-parts__02__from-date-string-and-time-string
balanced-default	26	datetime-sequence-generation	datetime-sequence-generation__01__list-of-weekly-dates
balanced-default	27	datetime-sequence-generation	datetime-sequence-generation__02__dataframe-weekly-index
balanced-default	28	datetime-sequence-generation	datetime-sequence-generation__03__most-common-mistake
balanced-default	29	list-comprehension-patterns	list-comprehension-patterns__01__syntax-patterns
balanced-default	30	list-comprehension-patterns	list-comprehension-patterns__03__placement-trap
balanced-default	31	dict-comprehension-patterns	dict-comprehension-patterns__01__core-shape
balanced-default	32	dict-comprehension-patterns	dict-comprehension-patterns__03__high-frequency-mistake
balanced-default	33	dict-build-count-aggregate	dict-build-count-aggregate__01__core-templates
balanced-default	34	dict-build-count-aggregate	dict-build-count-aggregate__03__fast-reminder
balanced-default	35	dict-iteration-equality	dict-iteration-equality__01__two-must-know-facts
balanced-default	36	dict-iteration-equality	dict-iteration-equality__03__odd-one-out-pattern
balanced-default	37	dict-running-totals-and-next-links	dict-running-totals-and-next-links__01__next-link-dictionary
balanced-default	38	dict-running-totals-and-next-links	dict-running-totals-and-next-links__02__running-total-dictionary
balanced-default	39	higher-order-lambda	higher-order-lambda__01__core-forms
balanced-default	40	defaults-keyword-arguments	defaults-keyword-arguments__01__binding-rules
balanced-default	41	defaults-keyword-arguments	defaults-keyword-arguments__03__elimination-hint
balanced-default	42	args-and-kwargs	args-and-kwargs__01__args-kwargs-cheat-table
balanced-default	43	args-and-kwargs	args-and-kwargs__02__two-exam-templates
balanced-default	44	return-none-and-function-end	return-none-and-function-end__01__three-rules
balanced-default	45	return-none-and-function-end	return-none-and-function-end__03__what-to-check-in-options
balanced-default	46	local-vs-global-scope	local-vs-global-scope__01__scope-rules
balanced-default	47	local-vs-global-scope	local-vs-global-scope__03__fast-elimination-hint
balanced-default	48	oop-init-self-defaults	oop-init-self-defaults__01__constructor-checklist
balanced-default	49	oop-init-self-defaults	oop-init-self-defaults__02__canonical-template
balanced-default	50	oop-init-self-defaults	oop-init-self-defaults__03__common-wrong-answers
balanced-default	51	oop-state-and-collection-attributes	oop-state-and-collection-attributes__01__safe-patterns-for-collection-attributes
balanced-default	52	oop-state-and-collection-attributes	oop-state-and-collection-attributes__02__add-capacity-logic
balanced-default	53	oop-state-and-collection-attributes	oop-state-and-collection-attributes__04__average-rating-pattern
balanced-default	54	oop-method-calls-and-self	oop-method-calls-and-self__01__definition-vs-call
balanced-default	55	oop-method-calls-and-self	oop-method-calls-and-self__03__attribute-access-rule
balanced-default	56	oop-compare-and-report-patterns	oop-compare-and-report-patterns__01__comparison-template
balanced-default	57	oop-compare-and-report-patterns	oop-compare-and-report-patterns__02__report-overview-template
balanced-default	58	oop-compare-and-report-patterns	oop-compare-and-report-patterns__03__common-traps
balanced-default	59	pandas-sort-index-vs-values	pandas-sort-index-vs-values__01__sorting-table
balanced-default	60	pandas-sort-index-vs-values	pandas-sort-index-vs-values__03__trap-hint
balanced-default	61	pandas-series-vs-dataframe	pandas-series-vs-dataframe__01__one-column-selection-shapes
balanced-default	62	pandas-series-vs-dataframe	pandas-series-vs-dataframe__03__datatype-difference-trap
balanced-default	63	pandas-loc-iloc	pandas-loc-iloc__01__loc-vs-iloc
balanced-default	64	pandas-loc-iloc	pandas-loc-iloc__02__bank-style-examples
balanced-default	65	pandas-loc-iloc	pandas-loc-iloc__03__fast-warning
balanced-default	66	pandas-boolean-mask-and-indexing	pandas-boolean-mask-and-indexing__01__correct-mask-syntax
balanced-default	67	pandas-boolean-mask-and-indexing	pandas-boolean-mask-and-indexing__02__what-is-invalid
balanced-default	68	pandas-vectorized-new-columns	pandas-vectorized-new-columns__01__vectorized-patterns
balanced-default	69	pandas-vectorized-new-columns	pandas-vectorized-new-columns__02__scalar-series-is-fine
balanced-default	70	pandas-map-vs-apply	pandas-map-vs-apply__01__decision-table
balanced-default	71	pandas-map-vs-apply	pandas-map-vs-apply__02__correct-examples
balanced-default	72	pandas-map-vs-apply	pandas-map-vs-apply__03__common-wrong-patterns
balanced-default	73	pandas-string-and-date-columns	pandas-string-and-date-columns__01__common-column-transforms
balanced-default	74	pandas-string-and-date-columns	pandas-string-and-date-columns__02__date-column-from-day-month-year
balanced-default	75	fstrings-and-format	fstrings-and-format__01__formatting-patterns
balanced-default	76	fstrings-and-format	fstrings-and-format__02__exam-like-reminders
balanced-default	77	fstrings-and-format	fstrings-and-format__04__list-of-dicts-print-pattern
balanced-default	78	targeted-string-edit-patterns	targeted-string-edit-patterns__01__single-occurrence-replace-rule
balanced-default	79	targeted-string-edit-patterns	targeted-string-edit-patterns__03__normalize-before-comparing-strings
balanced-default	80	split-join-replace	split-join-replace__01__method-table
balanced-default	81	split-join-replace	split-join-replace__02__exam-style-patterns
balanced-default	82	split-join-replace	split-join-replace__03__join-trap
balanced-default	83	find-index-count	find-index-count__01__comparison-table
balanced-default	84	find-index-count	find-index-count__02__second-occurrence-pattern
