question_id	snippet_slug	rank
final-exam-solutions-for-python-programming-62oop21-q01	oop-init-self-defaults	1
final-exam-solutions-for-python-programming-62oop21-q02	oop-state-and-collection-attributes	1
final-exam-solutions-for-python-programming-62oop21-q03	split-join-replace	1
final-exam-solutions-for-python-programming-62oop21-q04	mutation-vs-return	1
final-exam-solutions-for-python-programming-62oop21-q04	split-join-replace	2
final-exam-solutions-for-python-programming-62oop21-q05	pandas-vectorized-new-columns	1
final-exam-solutions-for-python-programming-62oop21-q07	pandas-loc-iloc	1
final-exam-solutions-for-python-programming-62oop21-q07	pandas-series-vs-dataframe	2
final-exam-solutions-for-python-programming-62oop21-q08	pandas-boolean-mask-and-indexing	1
final-exam-solutions-for-python-programming-62oop21-q09	split-join-replace	1
final-exam-solutions-for-python-programming-62oop21-q10	types-none-bool-equality	1
final-exam-solutions-for-python-programming-62oop21-q11	datetime-timedelta-day-counts	1
final-exam-solutions-for-python-programming-62oop21-q12	datetime-build-from-parts	1
final-exam-solutions-for-python-programming-62oop21-q13	types-none-bool-equality	1
final-exam-solutions-for-python-programming-62oop21-q16	zip-enumerate-core	1
final-exam-solutions-for-python-programming-62oop21-q18	types-none-bool-equality	1
final-exam-solutions-for-python-programming-62oop21-q19	split-join-replace	1
final-exam-solutions-for-python-programming-62oop21-q20	defaults-keyword-arguments	1
final-exam-solutions-for-python-programming-62oop21-q21	defaults-keyword-arguments	1
final-exam-solutions-for-python-programming-62oop21-q23	zip-enumerate-core	1
final-exam-solutions-for-python-programming-62oop21-q23	list-comprehension-patterns	2
final-exam-solutions-for-python-programming-62oop21-q24	builtins-return-values	1
final-exam-study-guide-trial-python-basics-2023-q03	builtins-return-values	1
final-exam-study-guide-trial-python-basics-2023-q04	builtins-return-values	1
final-exam-study-guide-trial-python-basics-2023-q05	dict-build-count-aggregate	1
final-exam-study-guide-trial-python-basics-2023-q06	dict-iteration-equality	1
final-exam-study-guide-trial-python-basics-2023-q08	list-selection-and-aggregation	1
final-exam-study-guide-trial-python-basics-2023-q10	defaults-keyword-arguments	1
final-exam-study-guide-trial-python-basics-2023-q11	slicing-patterns	1
final-exam-study-guide-trial-python-basics-2023-q12	dict-build-count-aggregate	1
final-exam-study-guide-trial-python-basics-2023-q15	datetime-timedelta-day-counts	1
final-exam-study-guide-trial-python-basics-2023-q17	mutation-vs-return	1
final-exam-study-guide-trial-python-basics-2023-q18	targeted-string-edit-patterns	1
final-exam-study-guide-trial-python-basics-2023-q19	pandas-map-vs-apply	1
final-exam-study-guide-trial-python-basics-2023-q20	pandas-vectorized-new-columns	1
final-exam-study-guide-trial-python-basics-2023-q21	datetime-strptime-strftime	1
final-exam-study-guide-trial-python-basics-2023-q22	oop-init-self-defaults	1
final-exam-study-guide-trial-python-basics-2023-q23	fstrings-and-format	1
introduction-to-python-trial-final-exam-solutions-py22-q01	types-none-bool-equality	1
introduction-to-python-trial-final-exam-solutions-py22-q03	builtins-return-values	1
introduction-to-python-trial-final-exam-solutions-py22-q04	zip-enumerate-core	1
introduction-to-python-trial-final-exam-solutions-py22-q05	dict-build-count-aggregate	1
introduction-to-python-trial-final-exam-solutions-py22-q06	builtins-return-values	1
introduction-to-python-trial-final-exam-solutions-py22-q08	list-selection-and-aggregation	1
introduction-to-python-trial-final-exam-solutions-py22-q10	membership-and-condition-logic	1
introduction-to-python-trial-final-exam-solutions-py22-q11	find-index-count	1
introduction-to-python-trial-final-exam-solutions-py22-q14	pandas-loc-iloc	1
introduction-to-python-trial-final-exam-solutions-py22-q15	datetime-strptime-strftime	1
introduction-to-python-trial-final-exam-solutions-py22-q16	oop-state-and-collection-attributes	1
introduction-to-python-trial-final-exam-solutions-py22-q17	mutation-vs-return	1
introduction-to-python-trial-final-exam-solutions-py22-q18	case-and-capitalization	1
introduction-to-python-trial-final-exam-solutions-py22-q18	split-join-replace	2
