trap_slug	label	description	question_ref_count	exam_family_count	snippet_count	piece_count	recurrence_level	question_refs
bool_sum_counts_true	Bool Sum Counts True	Because booleans are integers in Python, summing booleans counts how many values are `True`.	24	5	2	0	signature	sample-final-plus-answers-q08|sample-final-plus-answers-q11|sample-final-plus-answers-q13|sample-final-plus-answers-q17|final-exam-solutions-for-python-programming-62oop21-q09|final-exam-solutions-for-python-programming-62oop21-q10|final-exam-solutions-for-python-programming-62oop21-q13|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-study-guide-trial-python-basics-2023-q03|final-exam-study-guide-trial-python-basics-2023-q04|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q04|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q07|resit-solutions-for-introduction-to-python-35761538-q01|resit-solutions-for-introduction-to-python-35761538-q03|resit-solutions-for-introduction-to-python-35761538-q07|trial-final-exam-solutions-introduction-to-python-3077951-q08|trial-final-exam-solutions-introduction-to-python-3077951-q11|trial-final-exam-solutions-introduction-to-python-3077951-q13|trial-final-exam-solutions-introduction-to-python-3077951-q17
string_immutable_reassign	String Immutable Reassign	String methods return a new string; the original string stays unchanged unless you reassign it.	23	5	5	0	signature	sample-final-plus-answers-q04|sample-final-plus-answers-q06|sample-final-plus-answers-q15|final-exam-solutions-for-python-programming-62oop21-q03|final-exam-solutions-for-python-programming-62oop21-q04|final-exam-solutions-for-python-programming-62oop21-q07|final-exam-solutions-for-python-programming-62oop21-q09|final-exam-solutions-for-python-programming-62oop21-q19|final-exam-study-guide-trial-python-basics-2023-q17|final-exam-study-guide-trial-python-basics-2023-q18|final-exam-study-guide-trial-python-basics-2023-q19|introduction-to-python-trial-final-exam-solutions-py22-q14|introduction-to-python-trial-final-exam-solutions-py22-q17|introduction-to-python-trial-final-exam-solutions-py22-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q15|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q13|resit-solutions-for-introduction-to-python-35761538-q14|resit-solutions-for-introduction-to-python-35761538-q15|trial-final-exam-solutions-introduction-to-python-3077951-q04
implicit_return_none	Implicit Return None	A function without an explicit `return` returns `None`.	19	5	2	0	signature	sample-final-plus-answers-q13|sample-final-plus-answers-q17|final-exam-solutions-for-python-programming-62oop21-q10|final-exam-solutions-for-python-programming-62oop21-q13|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-solutions-for-python-programming-62oop21-q21|final-exam-study-guide-trial-python-basics-2023-q03|final-exam-study-guide-trial-python-basics-2023-q10|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03|resit-solutions-for-introduction-to-python-35761538-q01|resit-solutions-for-introduction-to-python-35761538-q02|resit-solutions-for-introduction-to-python-35761538-q03|trial-final-exam-solutions-introduction-to-python-3077951-q13|trial-final-exam-solutions-introduction-to-python-3077951-q17
method_returns_none	Method Returns None	A mutating method changed the object in place, but the expression itself evaluates to `None`.	19	5	3	0	signature	sample-final-plus-answers-q04|sample-final-plus-answers-q06|sample-final-plus-answers-q15|final-exam-solutions-for-python-programming-62oop21-q03|final-exam-solutions-for-python-programming-62oop21-q04|final-exam-solutions-for-python-programming-62oop21-q07|final-exam-solutions-for-python-programming-62oop21-q19|final-exam-solutions-for-python-programming-62oop21-q21|final-exam-study-guide-trial-python-basics-2023-q10|final-exam-study-guide-trial-python-basics-2023-q17|final-exam-study-guide-trial-python-basics-2023-q19|introduction-to-python-trial-final-exam-solutions-py22-q14|introduction-to-python-trial-final-exam-solutions-py22-q17|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q02|resit-solutions-for-introduction-to-python-35761538-q03
comparison_chain	Comparison Chain	Chained comparisons like `a < b < c` are not the same as comparing booleans or tuples.	15	5	1	0	signature	sample-final-plus-answers-q13|sample-final-plus-answers-q17|final-exam-solutions-for-python-programming-62oop21-q10|final-exam-solutions-for-python-programming-62oop21-q13|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-study-guide-trial-python-basics-2023-q03|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03|resit-solutions-for-introduction-to-python-35761538-q01|resit-solutions-for-introduction-to-python-35761538-q03|trial-final-exam-solutions-introduction-to-python-3077951-q13|trial-final-exam-solutions-introduction-to-python-3077951-q17
default_arg_optional	Default Arg Optional	A parameter with a default is optional when calling the function.	15	5	2	0	signature	sample-final-plus-answers-q01|final-exam-solutions-for-python-programming-62oop21-q01|final-exam-solutions-for-python-programming-62oop21-q20|final-exam-solutions-for-python-programming-62oop21-q21|final-exam-study-guide-trial-python-basics-2023-q10|final-exam-study-guide-trial-python-basics-2023-q16|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19|resit-solutions-for-introduction-to-python-35761538-q04|resit-solutions-for-introduction-to-python-35761538-q16|resit-solutions-for-introduction-to-python-35761538-q19|trial-final-exam-solutions-introduction-to-python-3077951-q01
float_int_string_equality	Float Int String Equality	Python can treat some numeric types as equal (`True == 1`, `1 == 1.0`), but strings stay separate.	15	5	1	0	signature	sample-final-plus-answers-q13|sample-final-plus-answers-q17|final-exam-solutions-for-python-programming-62oop21-q10|final-exam-solutions-for-python-programming-62oop21-q13|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-study-guide-trial-python-basics-2023-q03|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03|resit-solutions-for-introduction-to-python-35761538-q01|resit-solutions-for-introduction-to-python-35761538-q03|trial-final-exam-solutions-introduction-to-python-3077951-q13|trial-final-exam-solutions-introduction-to-python-3077951-q17
enumerate_gives_index_value	Enumerate Gives Index Value	`enumerate(iterable)` yields `(index, value)` pairs, in that order.	14	5	1	0	signature	sample-final-plus-answers-q03|sample-final-plus-answers-q20|final-exam-solutions-for-python-programming-62oop21-q16|final-exam-solutions-for-python-programming-62oop21-q23|final-exam-study-guide-trial-python-basics-2023-q05|final-exam-study-guide-trial-python-basics-2023-q08|introduction-to-python-trial-final-exam-solutions-py22-q04|introduction-to-python-trial-final-exam-solutions-py22-q05|introduction-to-python-trial-final-exam-solutions-py22-q08|introduction-to-python-trial-final-exam-solutions-py22-q10|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11|resit-solutions-for-introduction-to-python-35761538-q11|trial-final-exam-solutions-introduction-to-python-3077951-q03|trial-final-exam-solutions-introduction-to-python-3077951-q20
local_scope_nameerror	Local Scope Nameerror	A local name is not visible outside the function where it was created.	14	5	2	0	signature	sample-final-plus-answers-q04|sample-final-plus-answers-q06|sample-final-plus-answers-q15|final-exam-solutions-for-python-programming-62oop21-q03|final-exam-solutions-for-python-programming-62oop21-q07|final-exam-solutions-for-python-programming-62oop21-q15|final-exam-study-guide-trial-python-basics-2023-q02|final-exam-study-guide-trial-python-basics-2023-q19|introduction-to-python-trial-final-exam-solutions-py22-q02|introduction-to-python-trial-final-exam-solutions-py22-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-solutions-for-introduction-to-python-35761538-q02|trial-final-exam-solutions-introduction-to-python-3077951-q15
zip_pairs_positionally	Zip Pairs Positionally	`zip(a, b)` pairs items by position, not by value matching.	14	5	1	0	signature	sample-final-plus-answers-q03|sample-final-plus-answers-q20|final-exam-solutions-for-python-programming-62oop21-q16|final-exam-solutions-for-python-programming-62oop21-q23|final-exam-study-guide-trial-python-basics-2023-q05|final-exam-study-guide-trial-python-basics-2023-q08|introduction-to-python-trial-final-exam-solutions-py22-q04|introduction-to-python-trial-final-exam-solutions-py22-q05|introduction-to-python-trial-final-exam-solutions-py22-q08|introduction-to-python-trial-final-exam-solutions-py22-q10|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11|resit-solutions-for-introduction-to-python-35761538-q11|trial-final-exam-solutions-introduction-to-python-3077951-q03|trial-final-exam-solutions-introduction-to-python-3077951-q20
date_directive_order	Date Directive Order	Datetime directives must match the input order exactly (`%d/%m/%Y` is not `%m/%d/%Y`).	12	5	1	0	signature	sample-final-plus-answers-q07|sample-final-plus-answers-q09|final-exam-solutions-for-python-programming-62oop21-q11|final-exam-study-guide-trial-python-basics-2023-q15|final-exam-study-guide-trial-python-basics-2023-q21|introduction-to-python-trial-final-exam-solutions-py22-q15|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q17|resit-solutions-for-introduction-to-python-35761538-q21|trial-final-exam-solutions-introduction-to-python-3077951-q07|trial-final-exam-solutions-introduction-to-python-3077951-q09
join_called_on_separator	Join Called On Separator	`join` is called on the separator string, not on the list of pieces.	12	5	1	0	signature	sample-final-plus-answers-q04|final-exam-solutions-for-python-programming-62oop21-q03|final-exam-solutions-for-python-programming-62oop21-q04|final-exam-solutions-for-python-programming-62oop21-q09|final-exam-solutions-for-python-programming-62oop21-q19|final-exam-study-guide-trial-python-basics-2023-q17|final-exam-study-guide-trial-python-basics-2023-q18|introduction-to-python-trial-final-exam-solutions-py22-q17|introduction-to-python-trial-final-exam-solutions-py22-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14|resit-solutions-for-introduction-to-python-35761538-q14|trial-final-exam-solutions-introduction-to-python-3077951-q04
loc_vs_iloc	Loc Vs Iloc	`loc` uses labels; `iloc` uses integer positions.	12	5	2	0	signature	sample-final-plus-answers-q04|sample-final-plus-answers-q05|sample-final-plus-answers-q06|sample-final-plus-answers-q15|final-exam-solutions-for-python-programming-62oop21-q03|final-exam-solutions-for-python-programming-62oop21-q07|final-exam-study-guide-trial-python-basics-2023-q19|introduction-to-python-trial-final-exam-solutions-py22-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-solutions-for-introduction-to-python-35761538-q18|trial-final-exam-solutions-introduction-to-python-3077951-q05|trial-final-exam-solutions-introduction-to-python-3077951-q06
strptime_vs_strftime	Strptime Vs Strftime	`strptime` parses strings into datetime objects; `strftime` formats datetime objects into strings.	12	5	1	0	signature	sample-final-plus-answers-q07|sample-final-plus-answers-q09|final-exam-solutions-for-python-programming-62oop21-q11|final-exam-study-guide-trial-python-basics-2023-q15|final-exam-study-guide-trial-python-basics-2023-q21|introduction-to-python-trial-final-exam-solutions-py22-q15|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q17|resit-solutions-for-introduction-to-python-35761538-q21|trial-final-exam-solutions-introduction-to-python-3077951-q07|trial-final-exam-solutions-introduction-to-python-3077951-q09
builtin_return_type	Builtin Return Type	The code fails because the built-in returns a different type than the distractor assumes.	11	4	1	0	signature	final-exam-solutions-for-python-programming-62oop21-q24|final-exam-study-guide-trial-python-basics-2023-q03|final-exam-study-guide-trial-python-basics-2023-q04|final-exam-study-guide-trial-python-basics-2023-q11|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q06|introduction-to-python-trial-final-exam-solutions-py22-q11|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11|resit-solutions-for-introduction-to-python-35761538-q05|resit-solutions-for-introduction-to-python-35761538-q11
dict_counting_pattern	Dict Counting Pattern	The pattern should accumulate counts into a dictionary instead of overwriting or appending elsewhere.	11	4	1	0	signature	sample-final-plus-answers-q19|final-exam-study-guide-trial-python-basics-2023-q05|final-exam-study-guide-trial-python-basics-2023-q06|final-exam-study-guide-trial-python-basics-2023-q12|introduction-to-python-trial-final-exam-solutions-py22-q05|introduction-to-python-trial-final-exam-solutions-py22-q06|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q08|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09|resit-solutions-for-introduction-to-python-35761538-q08|resit-solutions-for-introduction-to-python-35761538-q09|trial-final-exam-solutions-introduction-to-python-3077951-q19
keys_vs_values	Keys Vs Values	The question distinguishes between dictionary keys and dictionary values; distractors swap them.	11	4	1	0	signature	sample-final-plus-answers-q19|final-exam-study-guide-trial-python-basics-2023-q05|final-exam-study-guide-trial-python-basics-2023-q06|final-exam-study-guide-trial-python-basics-2023-q12|introduction-to-python-trial-final-exam-solutions-py22-q05|introduction-to-python-trial-final-exam-solutions-py22-q06|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q08|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09|resit-solutions-for-introduction-to-python-35761538-q08|resit-solutions-for-introduction-to-python-35761538-q09|trial-final-exam-solutions-introduction-to-python-3077951-q19
missing_self	Missing Self	Instance methods need `self` as the first parameter in the method definition.	11	5	2	0	signature	sample-final-plus-answers-q01|final-exam-solutions-for-python-programming-62oop21-q01|final-exam-study-guide-trial-python-basics-2023-q16|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q16|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19|resit-solutions-for-introduction-to-python-35761538-q16|resit-solutions-for-introduction-to-python-35761538-q19|trial-final-exam-solutions-introduction-to-python-3077951-q01
sort_vs_sorted	Sort Vs Sorted	`sorted(x)` returns a new sorted object; `x.sort()` mutates in place and returns `None`.	11	4	1	0	signature	final-exam-solutions-for-python-programming-62oop21-q24|final-exam-study-guide-trial-python-basics-2023-q03|final-exam-study-guide-trial-python-basics-2023-q04|final-exam-study-guide-trial-python-basics-2023-q11|introduction-to-python-trial-final-exam-solutions-py22-q03|introduction-to-python-trial-final-exam-solutions-py22-q06|introduction-to-python-trial-final-exam-solutions-py22-q11|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11|resit-solutions-for-introduction-to-python-35761538-q05|resit-solutions-for-introduction-to-python-35761538-q11
timedelta_requires_datetime	Timedelta Requires Datetime	Date arithmetic with `timedelta` works on date/datetime objects, not raw strings.	11	5	2	0	signature	sample-final-plus-answers-q10|final-exam-solutions-for-python-programming-62oop21-q11|final-exam-study-guide-trial-python-basics-2023-q15|final-exam-study-guide-trial-python-basics-2023-q21|introduction-to-python-trial-final-exam-solutions-py22-q15|introduction-to-python-trial-final-exam-solutions-py22-q22|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q17|resit-solutions-for-introduction-to-python-35761538-q21|trial-final-exam-solutions-introduction-to-python-3077951-q10
attribute_not_on_self	Attribute Not On Self	Instance state should be stored on `self`, not as a bare local variable that disappears after `__init__`.	10	5	1	0	signature	sample-final-plus-answers-q01|final-exam-solutions-for-python-programming-62oop21-q01|final-exam-study-guide-trial-python-basics-2023-q16|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19|resit-solutions-for-introduction-to-python-35761538-q16|resit-solutions-for-introduction-to-python-35761538-q19|trial-final-exam-solutions-introduction-to-python-3077951-q01
dict_comp_key_value_order	Dict Comp Key Value Order	Dictionary comprehension syntax is `{key_expr: value_expr for ...}` in that order.	10	5	1	0	signature	sample-final-plus-answers-q08|sample-final-plus-answers-q11|final-exam-solutions-for-python-programming-62oop21-q09|final-exam-solutions-for-python-programming-62oop21-q10|final-exam-study-guide-trial-python-basics-2023-q04|introduction-to-python-trial-final-exam-solutions-py22-q04|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q07|resit-solutions-for-introduction-to-python-35761538-q07|trial-final-exam-solutions-introduction-to-python-3077951-q08|trial-final-exam-solutions-introduction-to-python-3077951-q11
return_in_init	Return In Init	`__init__` initializes the object and should not return a normal value.	10	5	1	0	signature	sample-final-plus-answers-q01|final-exam-solutions-for-python-programming-62oop21-q01|final-exam-study-guide-trial-python-basics-2023-q16|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19|resit-solutions-for-introduction-to-python-35761538-q16|resit-solutions-for-introduction-to-python-35761538-q19|trial-final-exam-solutions-introduction-to-python-3077951-q01
dict_iterates_keys	Dict Iterates Keys	Looping directly over a dictionary yields keys.	9	4	1	0	very-common	sample-final-plus-answers-q20|sample-final-plus-answers-q21|final-exam-solutions-for-python-programming-62oop21-q17|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-study-guide-trial-python-basics-2023-q06|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09|resit-solutions-for-introduction-to-python-35761538-q09|trial-final-exam-solutions-introduction-to-python-3077951-q20|trial-final-exam-solutions-introduction-to-python-3077951-q21
dict_order_not_equality	Dict Order Not Equality	Dictionary equality depends on matching key-value pairs, not insertion order.	9	4	1	0	very-common	sample-final-plus-answers-q20|sample-final-plus-answers-q21|final-exam-solutions-for-python-programming-62oop21-q17|final-exam-solutions-for-python-programming-62oop21-q18|final-exam-study-guide-trial-python-basics-2023-q06|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09|resit-solutions-for-introduction-to-python-35761538-q09|trial-final-exam-solutions-introduction-to-python-3077951-q20|trial-final-exam-solutions-introduction-to-python-3077951-q21
negative_step_direction	Negative Step Direction	With a negative step, the slice must move from right to left; otherwise it can be empty.	9	4	1	0	very-common	sample-final-plus-answers-q18|final-exam-study-guide-trial-python-basics-2023-q09|final-exam-study-guide-trial-python-basics-2023-q11|introduction-to-python-trial-final-exam-solutions-py22-q09|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q12|resit-solutions-for-introduction-to-python-35761538-q05|resit-solutions-for-introduction-to-python-35761538-q12|trial-final-exam-solutions-introduction-to-python-3077951-q18
slice_stop_exclusive	Slice Stop Exclusive	A slice includes the start index but excludes the stop index.	9	4	1	0	very-common	sample-final-plus-answers-q18|final-exam-study-guide-trial-python-basics-2023-q09|final-exam-study-guide-trial-python-basics-2023-q11|introduction-to-python-trial-final-exam-solutions-py22-q09|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q12|resit-solutions-for-introduction-to-python-35761538-q05|resit-solutions-for-introduction-to-python-35761538-q12|trial-final-exam-solutions-introduction-to-python-3077951-q18
